 503: #000000, #2438f3, #d5861a, #ffffff
 504: #000000, #2339f3, #d5861a, #ffffff
 505: #000000, #2338f3, #d5861a, #ffffff
 506: #000000, #2239f3, #d5861a, #ffffff
 507: #000000, #2139f3, #d5861a, #ffffff
 508: #000000, #203af3, #d5861a, #ffffff
 509: #000000, #2039f3, #d5861a, #ffffff
 510: #000000, #1f3af3, #d5861a, #ffffff
 511: #000000, #1f39f3, #d5861a, #ffffff
 512: #000000, #1e3af3, #d5861a, #ffffff
 513: #000000, #1e39f3, #d5861a, #ffffff
 514: #000000, #1d3af3, #d5861a, #ffffff
 515: #000000, #1d39f3, #d5861a, #ffffff
 516: #000000, #4130f2, #d5861a, #ffffff
 517: #000000, #2839f2, #d5861a, #ffffff
 518: #000000, #273af2, #d5861a, #ffffff
 519: #000000, #2739f2, #d5861a, #ffffff
 520: #000000, #263af2, #d5861a, #ffffff
 521: #000000, #253af2, #d5861a, #ffffff
 522: #000000, #243af2, #d5861a, #ffffff
 523: #000000, #233af2, #d5861a, #ffffff
 524: #000000, #4630f1, #d5861a, #ffffff
 525: #000000, #462ff1, #d5861a, #ffffff
 526: #000000, #4531f1, #d5861a, #ffffff
 527: #000000, #4530f1, #d5861a, #ffffff
 528: #000000, #452ff1, #d5861a, #ffffff
 529: #000000, #4431f1, #d5861a, #ffffff
 530: #000000, #4430f1, #d5861a, #ffffff
 531: #000000, #4332f1, #d5861a, #ffffff
 532: #000000, #4232f1, #d5861a, #ffffff
 533: #000000, #4133f1, #d5861a, #ffffff
 534: #000000, #4132f1, #d5861a, #ffffff
 535: #000000, #4033f1, #d5861a, #ffffff
 536: #000000, #4032f1, #d5861a, #ffffff
 537: #000000, #3f34f1, #d5861a, #ffffff
 538: #000000, #3f33f1, #d5861a, #ffffff
 539: #000000, #3e34f1, #d5861a, #ffffff
 540: #000000, #3e33f1, #d5861a, #ffffff
 541: #000000, #4333f0, #d5861a, #ffffff
 542: #000000, #4134f0, #d5861a, #ffffff
 543: #000000, #2838f2, #d5861a, #ffffff
 544: #000000, #2738f2, #d5861a, #ffffff
 545: #000000, #2639f2, #d5861a, #ffffff
 546: #000000, #2638f2, #d5861a, #ffffff
 547: #000000, #2539f2, #d5861a, #ffffff
 548: #000000, #2439f2, #d5861a, #ffffff
 549: #000000, #2339f2, #d5861a, #ffffff
 550: #000000, #223af2, #d5861a, #ffffff
 551: #000000, #2239f2, #d5861a, #ffffff
 552: #000000, #213af2, #d5861a, #ffffff
 553: #000000, #2139f2, #d5861a, #ffffff
 554: #000000, #203af2, #d5861a, #ffffff
 555: #000000, #1f3af2, #d5861a, #ffffff
